Series,Character Name,Outfit,Status,Con,,Wig Color,,Eye Color,,Top,,Top,,Top,,Top,,Bottom,,Bottom,,Bottom,,Socks,,Shoes,,Accessories,,Accessories,,Accessories,,Accessories,,Other,,Other,,Prop
Arcane,Jinx,Default,100.00%,Magfest 2026,TRUE,Blue,TRUE,Pink,TRUE,Crop Top,TRUE,Arm Belts (left) x3,TRUE,Pink Stripe Arm Warmer,TRUE,Tan Stripe Arm Band,TRUE,Pants,TRUE,Belts (Attached to Pants),,,,,TRUE,Boots,TRUE,Choker,TRUE,Tattoos,TRUE,Gloves,TRUE,Right Hand Bracelet,,,,,TRUE,Fishbones/Powpow/ Zap
Dungeon Meshi,Izutsumi,Classic,100.00%,Magfest 2026,TRUE,Black,TRUE,Gold,TRUE,Brown Top,TRUE,"Black ""fur"" under shirt",,,,,TRUE,Brown Skirt,TRUE,"Black ""fur"" pants",,,,,,,TRUE,Red Scarf,TRUE,Red Arm Guards,TRUE,Ears,TRUE,Tail + Tail Mount,TRUE,Fangs,,,,
Konosuba,Megumin,Default,100.00%,Magfest 2026,TRUE,Brown,TRUE,Red,TRUE,Red Dress,TRUE,Brown Cloak,TRUE,Hat,TRUE,Gloves,TRUE,Belt,,,,,TRUE,Bandage + Black Thigh High,TRUE,Boots + Orange Cuffs,TRUE,Choker,TRUE,Eyepatch,,,,,,,,,TRUE,Staff
Peak,Peak,Standard,100.00%,Magfest 2026,TRUE,Red,TRUE,None,TRUE,Tan Button Up,,,,,,,TRUE,Blue Skirt,,,,,TRUE,White Calf High,TRUE,Sneakers,TRUE,Green Sash,TRUE,Hat/headband,,,,,TRUE,Backpack,,,,
Boku No Hero Academia,Toga,Default,57.14%,,TRUE,Blonde,FALSE,Yellow,TRUE,Seifuku Top,TRUE,Cardigan,FALSE,Teeth Scarf,,,TRUE,Skirt,FALSE,Knife Leg Holsters,,,TRUE,Black Knee High,TRUE,Black Loafers,FALSE,Belt Holster,FALSE,Back/Side Holsters,FALSE,Mask,,,TRUE,Fangs,,,TRUE,Knife
Chainsaw Man,Power,Default,0.00%,,FALSE,Pink ; Peach,FALSE,Red / Orange,FALSE,White Button Up,FALSE,Blue Jacket,FALSE,Black Tie,,,FALSE,Black Capri pants,,,,,,,FALSE,White Shoes,FALSE,Red Horns,FALSE,Fangs / Sharp teeth,,,,,,,,,FALSE,Red Scythe
Demon Slayer,Rengoku,Default,50.00%,,FALSE,Blonde / Red Tips,FALSE,Red / Orange,TRUE,Black Top,TRUE,Cape,,,,,TRUE,Black Pants,TRUE,White Belt,TRUE,Flame Leg Warmers,FALSE,Black  Toe Socks,FALSE,Red Zori Sandals,,,,,,,,,,,,,FALSE,Sword
Demon Slayer,Mitsuri,Default,55.56%,,FALSE,Pink And Green,FALSE,Green,TRUE,Black Top,TRUE,White Shirt,TRUE,White Haori,,,TRUE,White Belt,,,,,TRUE,Green Socks,FALSE,Pink Zori Sandals,,,,,,,,,,,,,FALSE,Sword
Demon Slayer,Inosuke,Default,0.00%,,FALSE,Black ; Blue tips,FALSE,Green,FALSE,Silicone Chest,FALSE,or Fem Inosuke Top,,,,,FALSE,Dark Blue Pants,FALSE,Fur Skirt,,,FALSE,Dark Blue toeless,FALSE,Sandals,FALSE,Boar Head,,,,,,,,,,,FALSE,Twin Swords
Devilman Crybaby,Akira,Default,71.43%,,TRUE,Black ; Ash,FALSE,Gold,TRUE,Black Tshirt,,,,,,,TRUE,Black Pants,,,,,,,TRUE,Black Tennis Shoes,FALSE,Foam Bat Wings,,,,,,,TRUE,Fangs,,,,
Dragon Ball,Chichi,Armor,0.00%,,FALSE,Black,FALSE,Brown,FALSE,Blue Armor Top,FALSE,Blue Shoulderpads,FALSE,Teal Arm warmers,FALSE,Pink Gloves,FALSE,Blue Armor Underwear,,,,,FALSE,Teal Socks,FALSE,Pink Boots,FALSE,Pink Helmet,,,,,,,,,,,,
Dragon Ball,Bulma,Pink Dress,88.89%,,TRUE,Blue ,FALSE,Blue,TRUE,Pink Dress,TRUE,Brown Glove + Red Watch,TRUE,Hair Bow,TRUE,Purple Scarf,TRUE,Belt + Pouches,TRUE,Purple Leg Warmers,,,,,TRUE,Blue Sneakers,,,,,,,,,,,,,,
Dragon Ball Z,Android 21,Default,70.00%,,FALSE,Red ; Copper,FALSE,Blue,TRUE,Red/Blue Dress,FALSE,Lab Coat,TRUE,Black Arm Warmers,,,TRUE,Black Tights,,,,,,,TRUE,Red/Blue Heel Boot Covers,TRUE,Gold Hoop Earrings,TRUE,Black Glasses,TRUE,Gold Ring (Right Middle Finger),,,,,,,,
Dragon Ball Z,Videl ,Default,75.00%,,TRUE,Black,TRUE,Blue,TRUE,White Shirt,TRUE,Black Fingerless Gloves,,,,,TRUE,Black Athletic Shorts,TRUE,Purple Leg Warmers,,,,,FALSE,Green Boots,FALSE,Yellow Hair Bands,,,,,,,,,,,,
